Timestamp,Latency_ms,Jitter_ms,PacketLoss_%,Download_Mbps,Upload_Mbps,Prediction,Advice

2025-07-22 15:47:42,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-07-23 13:53:22,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-07-23 13:53:52,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-07-23 13:54:23,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-07-23 13:54:53,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-07-25 00:41:12,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:00:13,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:00:41,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:01:11,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:01:42,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:08:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:15:14,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:15:48,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:16:18,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:17:28,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:17:58,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:18:32,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:19:02,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:19:33,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:19:58,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:20:33,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:20:58,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:21:33,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:22:06,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:25:33,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:26:07,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:26:37,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:27:07,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:27:37,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:28:12,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:29:40,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:32:37,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:33:13,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:33:41,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:42:09,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:48:24,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 13:53:06,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-07 23:53:08,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 00:23:51,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 09:49:50,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 09:50:18,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-08 09:59:49,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:01:10,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:01:42,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:02:06,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:02:52,50,5,0.0,10.5,3.2,Good,No issues detected.
2025-08-17 20:03:12,50,5,0.0,10.5,3.2,Good,No issues detected.
